id,name,trafficType,municipality,county,roadCategory,road_ref,lat,lon
70046V180859,GML. KONGSBERG KRO,VEHICLE,Kongsberg,Viken,F,FV40 S13D1 m1842,59.667291,9.648768
47408V625213,E6 Teisen,VEHICLE,Oslo,Oslo,E,EV6 S16D1 m4434,59.915057,10.814306
80141V444220,KLØFTA SØR,VEHICLE,Ullensaker,Viken,E,EV6 S21D1 m4592,60.069938,11.154113
87564B971416,KIRKÅS SØR SYKKEL,BICYCLE,Indre Østfold,Viken,F,FV129 S1D20 m161,59.549506,11.346555
11908V1125977,Maursund v/værstasjon,VEHICLE,Skjervøy,Troms og Finnmark,F,FV866 S1D1 m19070,69.936812,20.913883
03059V1825902,Mettedalsrkj mot Namsos,VEHICLE,Namsos,Trøndelag,F,FV769 S1D1 m40,64.445861,11.521632
31891V249584,Bjørnås,VEHICLE,Rindal,Trøndelag,F,FV65 S6D1 m4405,63.08663,9.206875
55797V443410,KRINGEN,VEHICLE,Lillestrøm,Viken,R,RV22 S13D1 m368,59.922497,11.177817
01646V121757,REKEVIK,VEHICLE,Flekkefjord,Agder,E,EV39 S112D1 m3879,58.369721,6.631625
79361V248910,Skorgedalen,VEHICLE,Vestnes,Møre og Romsdal,E,EV39 S27D1 m2029,62.568869,7.062433
42420V320754,Salhusvegen,VEHICLE,Haugesund,Rogaland,F,FV4852 S1D1 m1928,59.392516,5.293023
58562V1718862,SOLBERG SØR,VEHICLE,Sarpsborg,Viken,E,EV6 S3D1 m3165,59.204459,11.178247
45400V3134151,BAGNSKLEIVA TUNNEL,VEHICLE,Sør-Aurdal,Innlandet,E,EV16 S37D1 m7739,60.841322,9.528139
19084V704693,MASTERUD N,VEHICLE,Kongsvinger,Innlandet,E,EV16 S67D1 m3514,60.17949,12.321934
87864V1060686,LIASANDEN,VEHICLE,Lom,Innlandet,F,FV55 S3D1 m6023,61.680863,8.229753
50741V1727509,Smeaheia vest retning Sør,VEHICLE,Sandnes,Rogaland,R,RV444 S1D1 m6639,58.862193,5.709996
85473V249618,Nauste,VEHICLE,Molde,Møre og Romsdal,F,FV660 S5D1 m1398,62.679702,8.121685
92375V704717,KVISLER N,VEHICLE,Åsnes,Innlandet,F,FV210 S6D1 m7001,60.583332,11.974399
57502V121402,LUNDSHAUG,VEHICLE,Kristiansand,Agder,R,RV41 S2D1 m1454,58.248915,8.155311
48028B1735081,Revheimsvegen sykkel,BICYCLE,Stavanger,Rogaland,R,RV509 S3D100 m2984,58.951641,5.658083
82641V705036,VESTHEIMGATA,VEHICLE,Elverum,Innlandet,F,FV210 S11D1 m9768,60.874999,11.548407
